eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
98.71,0.66,98.64,0.47,1168,0.00035957177,0.0,2.707673,-0.00074122846,0.29172423,0.04703080654144287,1,256,14.027343146502972,16384
134.99,1.28,116.71,0.96,1875,0.00015105405,0.0,2.707095,-0.00025759704,0.14501184,0.03769886493682861,2,512,23.07817816734314,32768
130.03,1.01,130.97,0.77,1906,0.00010218993,0.0,2.7068253,-0.00028756674,0.103601746,0.03807246685028076,3,768,31.674469891935587,49152
124.29,1.0,117.52,0.94,1136,0.00029144785,0.0,2.7054777,-0.0006006778,0.11935995,0.03547090291976929,4,1024,46.08672984689474,65536
127.82,0.95,114.62,0.89,795,0.00026025172,0.0,2.7027838,-0.00032758704,0.10013651,0.08063805103302002,5,1280,66.68587056174874,81920
126.61,0.88,113.44,0.73,780,0.00062517903,0.0011800131,2.7011182,-0.0010782018,0.118377745,0.05784189701080322,6,1536,87.68587927520275,98304
104.56,0.81,114.64,0.78,749,0.0005200932,0.0,2.6943884,-0.00050535664,0.13504487,0.10578566789627075,7,1792,109.54053065553308,114688
122.81,1.02,112.07,0.94,994,0.00049520965,2.0345053e-05,2.698476,-0.001035231,0.112768434,0.09867817163467407,8,2048,126.014064732939,131072
120.51,0.97,109.27,0.81,1889,0.0022918924,0.008911133,2.6951387,-0.0027967345,0.11866259,0.18477153778076172,9,2304,134.68736612796783,147456
132.94,1.09,114.53,0.73,1901,0.0030513622,0.017740885,2.6842139,-0.002847419,0.11735514,0.2498563528060913,10,2560,143.30344758927822,163840
144.36,1.12,112.34,0.74,1871,0.0028130263,0.021057129,2.6744652,-0.003982807,0.13515992,0.264149010181427,11,2816,152.06077575311065,180224
126.81,0.94,105.67,0.71,1866,0.0026927271,0.016479492,2.6730158,-0.0036749372,0.1196915,0.32361799478530884,12,3072,160.84202091395855,196608
118.18,0.76,103.29,0.76,1884,0.002455551,0.016560873,2.6721497,-0.0036020663,0.09946262,0.33626890182495117,13,3328,169.53684533014894,212992
124.31,0.89,104.75,0.62,1876,0.0028409187,0.024373373,2.6690874,-0.0054446734,0.11782967,0.37689512968063354,14,3584,178.27140967920423,229376
118.64,0.91,124.4,0.94,1907,0.002051358,0.013081868,2.6717303,-0.0028059415,0.15486139,0.37848830223083496,15,3840,186.8618991598487,245760
119.82,0.85,108.32,0.83,1486,0.002418168,0.016743978,2.6643322,-0.005960066,0.112065636,0.4041558504104614,16,4096,197.88535000756383,262144
115.84,0.87,116.37,0.91,794,0.004315539,0.038330078,2.647798,-0.007516651,0.12070305,0.41653937101364136,17,4352,218.52239819988608,278528
117.7,0.87,125.7,0.79,810,0.0033594344,0.027994791,2.6368246,-0.006954514,0.117876686,0.44825953245162964,18,4608,238.75254891067743,294912
138.28,1.2,104.03,0.98,792,0.0033379877,0.026713053,2.6292338,-0.0077267922,0.13696282,0.4496445059776306,19,4864,259.42088455706835,311296
140.24,1.12,117.6,1.01,803,0.004031255,0.036865234,2.6361423,-0.009180083,0.1182715,0.4141327142715454,20,5120,279.8089758194983,327680
135.68,1.06,111.91,0.76,1891,0.005014119,0.053202312,2.6167126,-0.0095161265,0.12238291,0.5170871317386627,21,5376,288.47218277677894,344064
113.86,0.78,137.61,1.0,1816,0.0045797867,0.0501709,2.6242716,-0.010036887,0.13261828,0.42829859256744385,22,5632,297.4935439042747,360448
115.1,0.86,119.93,0.77,1835,0.004749639,0.046590168,2.6317148,-0.011923373,0.110539116,0.40473729372024536,23,5888,306.42289647087455,376832
118.51,0.89,137.14,1.05,1837,0.0048173177,0.053527832,2.6249115,-0.011424906,0.123680495,0.36900776624679565,24,6144,315.3411609902978,393216
115.12,0.86,111.29,0.72,1866,0.0050582676,0.05448405,2.6115835,-0.0114870295,0.106536366,0.4899516701698303,25,6400,324.1179037466645,409600
115.75,0.9,109.38,0.95,1863,0.005915197,0.07076009,2.611663,-0.013620573,0.121290624,0.41989344358444214,26,6656,332.90950931981206,425984
131.03,0.97,142.65,0.9,1890,0.005984141,0.072896324,2.595575,-0.013805985,0.10586327,0.4423986077308655,27,6912,341.57640728726983,442368
116.22,0.98,144.0,1.1,1907,0.005873311,0.070251465,2.5774043,-0.01452184,0.13694902,0.41281867027282715,28,7168,350.1687007211149,458752
114.95,0.89,123.34,0.94,1017,0.006885501,0.0898234,2.5762637,-0.015266061,0.11091959,0.4709044098854065,29,7424,366.2665660455823,475136
128.46,0.97,131.47,0.87,788,0.006011315,0.07430013,2.565111,-0.012823213,0.13446473,0.45983076095581055,30,7680,387.057000759989,491520
133.52,1.05,165.1,1.18,792,0.0075716474,0.10170492,2.5563877,-0.0151408715,0.121534236,0.5104236006736755,31,7936,407.7383758202195,507904
150.86,1.22,163.99,1.18,799,0.006750999,0.08378092,2.5672843,-0.01321917,0.13538574,0.37703055143356323,32,8192,428.24258114770055,524288
128.46,0.87,146.19,1.2,1096,0.006536109,0.085103355,2.5864198,-0.01646177,0.109861545,0.4135962128639221,33,8448,443.1888334080577,540672
126.31,0.99,116.98,0.89,1840,0.0060908482,0.07346598,2.5459769,-0.013706491,0.1325597,0.4711262583732605,34,8704,452.089990157634,557056
178.99,1.43,173.5,1.15,1911,0.006177815,0.07543945,2.5600064,-0.014905244,0.13941146,0.38290417194366455,35,8960,460.6613418087363,573440
129.99,1.05,158.93,1.27,1871,0.0067897453,0.08546957,2.5658727,-0.017445242,0.13636556,0.3999846577644348,36,9216,469.41695906594396,589824
153.6,1.27,119.14,1.09,1872,0.007199034,0.092041016,2.555443,-0.017571973,0.13586234,0.4289082884788513,37,9472,478.1659620180726,606208
121.94,1.08,159.5,1.16,1843,0.0075708725,0.0998942,2.5458207,-0.012342539,0.16098464,0.34519630670547485,38,9728,487.054146040231,622592
132.28,0.99,136.76,1.01,1901,0.007452984,0.09932455,2.5424697,-0.018408695,0.1309569,0.42125892639160156,39,9984,495.6703925207257,638976
114.76,0.9,113.72,0.98,1889,0.007464608,0.09887695,2.5328114,-0.017589273,0.13647388,0.5185334384441376,40,10240,504.3410828821361,655360
163.0,1.49,131.49,0.95,1367,0.008244318,0.11383057,2.5415683,-0.018345775,0.14383623,0.3815283179283142,41,10496,516.3220717832446,671744
140.87,1.14,120.38,0.97,797,0.007996276,0.106424965,2.5279453,-0.020477103,0.13743912,0.4172428250312805,42,10752,536.8655026145279,688128
123.41,1.18,116.21,1.06,792,0.008215725,0.10813395,2.5142183,-0.018137487,0.13681352,0.5007385313510895,43,11008,557.5430773980916,704512
165.91,1.35,120.65,1.03,778,0.009093771,0.12485758,2.5268042,-0.018629607,0.12716758,0.5311467945575714,44,11264,578.5963638238609,720896
112.2,0.81,110.12,0.84,831,0.0088671865,0.1231486,2.5216606,-0.01743106,0.12127209,0.5690109133720398,45,11520,598.3316756635904,737280
135.84,1.14,120.85,0.95,1846,0.008380298,0.11328125,2.5182664,-0.019211782,0.12170836,0.5762260258197784,46,11776,607.2073980383575,753664
122.79,0.98,112.3,0.98,1865,0.0076274998,0.10502116,2.5118644,-0.019138733,0.12131823,0.5712265074253082,47,12032,615.9937038421631,770048
141.69,1.48,103.05,0.67,1916,0.008489062,0.11592611,2.4952204,-0.018438553,0.13757904,0.5064634084701538,48,12288,624.544815223664,786432
130.88,1.16,118.88,0.97,1881,0.008814216,0.12209066,2.4847336,-0.019611126,0.11650416,0.5851492583751678,49,12544,633.2558864057064,802816
141.78,1.26,100.78,0.65,1875,0.009703898,0.1352539,2.477411,-0.021112638,0.13022502,0.5854610502719879,50,12800,641.9924325086176,819200
133.3,1.2,141.39,1.15,1848,0.008440608,0.118631996,2.4742734,-0.022095188,0.12262746,0.5353305339813232,51,13056,650.8589476421475,835584
166.93,1.55,188.32,1.3,1851,0.008993111,0.12561035,2.4485695,-0.020541795,0.13022287,0.517295777797699,52,13312,659.7089877091348,851968
181.67,1.66,131.14,1.0,1648,0.00892587,0.12491862,2.4548166,-0.018785743,0.16029839,0.4746067523956299,53,13568,669.6470947824419,868352
125.29,1.22,107.31,0.84,839,0.0099282,0.14379883,2.445852,-0.023299778,0.12630442,0.5102068483829498,54,13824,689.1760972030461,884736
142.33,1.34,163.72,1.47,801,0.010172705,0.14339192,2.4463248,-0.02206559,0.12391061,0.5222162008285522,55,14080,709.6185524426401,901120
137.08,1.19,121.77,0.96,793,0.009137739,0.12835693,2.453565,-0.021236448,0.13752152,0.482546865940094,56,14336,730.27784691751,917504
138.43,1.34,138.05,1.33,807,0.010125412,0.144104,2.4533834,-0.021064581,0.11950284,0.5200071334838867,57,14592,750.5687869638205,933888
123.8,1.0,151.38,1.54,1552,0.00926014,0.123921715,2.4607077,-0.02161855,0.1146053,0.4574791193008423,58,14848,761.1267983689904,950272
144.09,1.22,139.59,1.48,1815,0.009221298,0.12585449,2.4304545,-0.023655705,0.10036189,0.5282838046550751,59,15104,770.1518868394196,966656
118.82,0.87,127.59,0.96,1814,0.008864101,0.11897787,2.4560986,-0.02364049,0.10541586,0.5661292672157288,60,15360,779.183918081224,983040
142.38,1.4,119.85,0.99,1849,0.009343796,0.13126628,2.451841,-0.01894703,0.12523869,0.5090446174144745,61,15616,788.0436431840062,999424
139.96,1.22,131.04,1.07,1907,0.009508714,0.13098145,2.4612105,-0.024042929,0.11560028,0.5508151650428772,62,15872,796.6343042701483,1015808
128.19,1.33,120.49,1.02,1859,0.009732657,0.13808186,2.4326046,-0.023440449,0.12895757,0.5761765241622925,63,16128,805.5765281058848,1032192
129.78,1.18,111.01,0.73,1903,0.009922914,0.13757324,2.4445188,-0.024677271,0.11748033,0.6081047058105469,64,16384,814.1845578253269,1048576
122.58,1.23,113.42,0.94,1827,0.01020274,0.14361572,2.4393923,-0.02597074,0.12219363,0.5969058275222778,65,16640,823.1525765024126,1064960
141.76,1.52,102.13,0.85,1039,0.009242978,0.12723796,2.4181535,-0.022272356,0.15195398,0.5925909280776978,66,16896,838.9131946861744,1081344
136.19,1.22,119.9,0.96,809,0.0115997335,0.16182454,2.3953826,-0.02500724,0.10825155,0.6534008681774139,67,17152,859.1578852757812,1097728
148.69,1.53,133.91,1.37,797,0.010059123,0.13926189,2.3909478,-0.021865359,0.14890267,0.5448300242424011,68,17408,879.7080214619637,1114112
136.5,1.34,140.6,1.34,804,0.010542076,0.1453247,2.3690407,-0.022633592,0.14419,0.6347465515136719,69,17664,900.0774955973029,1130496
